FISC_PERIOD,FISC_YEAR,REGION,OFFICE,TOWN,TTL_CPS_ACEPT_M,TTL_CPS_SUBS_M,TTL_ALLEGAT_M,TTL_ALLEGAT_SUBS_M,TTL_PHYS_ABUSE_M,TTL_EDUC_NEGLECT_M,TTL_EMOT_NEGLECT_M,TTL_HIGH_RISK_M,TTL_MEDI_NEGLECT_M,TTL_AT_RISK_M,TTL_PHYS_NEGLECT_M,TTL_SEX_ABUSE_M,SUBS_PHYS_ABUSE_M,SUBS_EDUC_NEGLECT_M,SUBS_EMOT_NEGLECT_M,SUBS_HIGH_RISK_M,SUBS_MEDI_NEGLECT_M,SUBS_AT_RISK_M,SUBS_PHYS_NEGLECT_M,SUBS_SEX_ABUSE_M,CHILDREN_SUBS,RATE_PHYS_ABUSE_M,RATE_EDUC_NEGLECT_M,RATE_EMOT_NEGLECT_M,RATE_HIGH_RISK_M,RATE_MEDI_NEGLECT_M,RATE_AT_RISK_M,RATE_PHYS_NEGLECT_M,RATE_SEX_ABUSE_M
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,BOZRAH,13,<= 10,34,<= 10,<= 10,-,<= 10,-,<= 10,-,21,<= 10,-,-,-,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,40 - 50 %,-,10 - 20 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,DANBURY,BRIDGEWATER,<= 10,-,<= 10,-,<= 10,-,-,-,-,-,<= 10,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-,-,-,-,-,0 - 10 %,-
07/01/2015 - 06/30/2016,2016,REGION 5,WATERBURY,WOODBURY,35,<= 10,98,11,15,<= 10,12,-,-,-,60,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,-,0 - 10 %,40 - 50 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 4,MANCHESTER,GRANBY,40,<= 10,122,18,<= 10,<= 10,29,-,<= 10,-,76,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,30 - 40 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,SOMERS,42,<= 10,125,44,14,-,27,-,<= 10,-,79,<= 10,<= 10,-,<= 10,-,-,-,34,-,<= 10,10 - 20 %,-,20 - 30 %,-,0 - 10 %,-,93%,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 1,BRIDGEPORT,EASTON,13,<= 10,38,13,<= 10,-,12,-,<= 10,-,21,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,20 - 30 %,-,0 - 10 %,-,40 - 50 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,SHARON,14,<= 10,49,15,<= 10,-,<= 10,-,-,-,42,-,-,-,<= 10,-,-,-,12,-,<= 10,0 - 10 %,-,90 - 100 %,-,-,-,29%,-
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,DURHAM,17,<= 10,34,<= 10,<= 10,-,<= 10,-,<= 10,-,13,-,-,-,<= 10,-,-,-,-,-,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,-,-
07/01/2012 - 06/30/2013,2013,REGION 1,NORWALK,WESTON,26,<= 10,62,<= 10,<= 10,-,14,-,<= 10,-,30,<= 10,<= 10,-,-,-,-,-,<= 10,-,<= 10,10 - 20 %,-,-,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 3,NORWICH,BOZRAH,17,<= 10,36,<= 10,<= 10,-,<= 10,-,<= 10,-,24,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 5,WATERBURY,NAUGATUCK,318,35,861,141,69,<= 10,198,-,15,-,526,17,<= 10,<= 10,42,-,<= 10,-,84,<= 10,50,0 - 10 %,0 - 10 %,21%,-,10 - 20 %,-,16%,20 - 30 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,LEBANON,41,<= 10,78,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,52,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2011 - 06/30/2012,2012,REGION 4,HARTFORD,WINDSOR,190,34,486,101,54,12,91,-,<= 10,-,283,18,<= 10,<= 10,28,-,<= 10,-,52,<= 10,46,0 - 10 %,0 - 10 %,31%,-,30 - 40 %,-,19%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 5,DANBURY,SHERMAN,<= 10,<= 10,32,15,<= 10,<= 10,<= 10,-,-,-,19,<= 10,-,<= 10,-,-,-,-,12,<= 10,<= 10,0 - 10 %,60 - 70 %,0 - 10 %,-,-,-,63%,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 6,NEW BRITAIN,BRISTOL,686,153,1830,359,153,48,323,-,41,-,1171,36,14,23,55,-,13,-,240,<= 10,213,9%,48%,17%,-,32%,-,45%,10 - 20 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,COLEBROOK,<= 10,-,11,-,<= 10,-,<= 10,-,-,-,<= 10,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,-
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,SHARON,14,<= 10,39,<= 10,<= 10,-,<= 10,-,-,-,22,<= 10,-,-,-,-,-,-,-,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,-,90 - 100 %
07/01/2012 - 06/30/2013,2013,REGION 6,NEW BRITAIN,BRISTOL,634,107,1700,272,142,57,396,-,27,-,972,44,<= 10,<= 10,55,-,<= 10,-,178,<= 10,165,0 - 10 %,10 - 20 %,113%,-,20 - 30 %,-,68%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,MARLBOROUGH,22,<= 10,70,22,<= 10,-,20,-,-,-,39,<= 10,-,-,<= 10,-,-,-,12,-,<= 10,0 - 10 %,-,40 - 50 %,-,-,-,31%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,NORTH CANAAN,<= 10,<= 10,22,<= 10,<= 10,-,<= 10,-,-,-,14,<= 10,-,-,-,-,-,-,-,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,-,90 - 100 %
07/01/2010 - 06/30/2011,2011,REGION 5,WATERBURY,PROSPECT,34,<= 10,104,22,19,-,26,-,-,-,49,<= 10,-,-,<= 10,-,-,-,13,<= 10,<= 10,-,-,20 - 30 %,-,-,-,27%,30 - 40 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,KILLINGWORTH,18,<= 10,59,<= 10,<= 10,-,13,-,-,-,33,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,0 - 10 %,10 - 20 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,FRANKLIN,<= 10,<= 10,35,<= 10,<= 10,-,<= 10,-,-,-,24,-,<= 10,-,-,-,-,-,<= 10,-,<= 10,90 - 100 %,-,0 - 10 %,-,-,-,50 - 60 %,-
07/01/2014 - 06/30/2015,2015,REGION 5,DANBURY,BRIDGEWATER,<= 10,<= 10,<= 10,<= 10,-,-,-,-,-,-,<= 10,<= 10,-,-,-,-,-,-,-,<= 10,<= 10,-,-,-,-,-,-,0 - 10 %,90 - 100 %
07/01/2012 - 06/30/2013,2013,REGION 3,MIDDLETOWN,ESSEX,16,<= 10,46,<= 10,<= 10,<= 10,12,-,-,-,24,<= 10,-,<= 10,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,90 - 100 %,30 - 40 %,-,-,-,40 - 50 %,90 - 100 %
07/01/2013 - 06/30/2014,2014,REGION 3,WILLIMANTIC,SCOTLAND,11,-,28,-,<= 10,<= 10,<= 10,-,-,-,13,<= 10,-,-,-,-,-,-,-,-,-,0 - 10 %,0 - 10 %,0 - 10 %,-,-,-,-,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,NORWICH,EAST LYME,87,11,213,30,20,<= 10,30,-,-,-,147,<= 10,<= 10,<= 10,<= 10,-,-,-,19,<= 10,19,0 - 10 %,40 - 50 %,30 - 40 %,-,-,-,16%,70 - 80 %
07/01/2014 - 06/30/2015,2015,REGION 6,NEW BRITAIN,BURLINGTON,33,<= 10,106,14,<= 10,<= 10,25,-,<= 10,-,66,<= 10,-,<= 10,<= 10,-,<= 10,-,<= 10,-,<= 10,0 - 10 %,90 - 100 %,20 - 30 %,-,40 - 50 %,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,STAFFORD,127,11,315,49,33,15,63,-,<= 10,-,176,17,<= 10,-,14,-,-,-,20,<= 10,19,20 - 30 %,-,47%,-,0 - 10 %,-,129%,140 - 150 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,GLASTONBURY,98,16,299,60,40,<= 10,50,-,<= 10,-,160,17,<= 10,<= 10,<= 10,-,<= 10,-,33,<= 10,23,0 - 10 %,20 - 30 %,10 - 20 %,-,20 - 30 %,-,22%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 5,DANBURY,REDDING,31,<= 10,67,<= 10,<= 10,<= 10,15,-,<= 10,-,35,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,-,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 1,NORWALK,DARIEN,34,<= 10,81,<= 10,11,-,29,-,<= 10,-,26,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,20 - 30 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,CANAAN,20,<= 10,47,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,33,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,HADDAM,35,<= 10,74,12,<= 10,<= 10,13,-,-,-,42,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,<= 10,10 - 20 %,0 - 10 %,110 - 120 %,-,-,-,30 - 40 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,GROTON,384,90,1246,372,144,14,216,-,17,-,791,14,13,<= 10,79,-,-,-,266,-,134,24%,10 - 20 %,85%,-,-,-,76%,-
07/01/2014 - 06/30/2015,2015,REGION 3,NORWICH,NORTH STONINGTON,22,<= 10,56,<= 10,<= 10,-,19,-,-,-,27,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,20 - 30 %,-,-,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,ROXBURY,<= 10,-,<= 10,-,-,-,-,-,-,-,<= 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,BETHANY,18,<= 10,46,<= 10,<= 10,-,11,-,-,-,24,<= 10,<= 10,-,<= 10,-,-,-,<= 10,<= 10,<= 10,10 - 20 %,-,20 - 30 %,-,-,-,20 - 30 %,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,GLASTONBURY,113,<= 10,288,38,39,<= 10,45,-,12,-,159,15,<= 10,<= 10,<= 10,-,-,-,16,<= 10,14,10 - 20 %,70 - 80 %,10 - 20 %,-,-,-,11%,40 - 50 %
07/01/2014 - 06/30/2015,2015,REGION 3,MIDDLETOWN,KILLINGWORTH,15,<= 10,39,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,22,<= 10,-,-,-,-,-,-,-,<= 10,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,0 - 10 %,-,-,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,GOSHEN,<= 10,<= 10,19,<= 10,<= 10,-,<= 10,-,-,-,16,<= 10,-,-,-,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,20 - 30 %,90 - 100 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,ENFIELD,380,37,992,196,107,17,180,-,15,-,624,32,<= 10,-,40,-,<= 10,-,142,<= 10,51,0 - 10 %,-,22%,-,0 - 10 %,-,23%,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 3,WILLIMANTIC,STERLING,31,<= 10,105,25,<= 10,-,23,-,<= 10,-,71,<= 10,<= 10,-,11,-,-,-,13,-,13,30 - 40 %,-,48%,-,0 - 10 %,-,51%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 6,MERIDEN,WALLINGFORD,233,26,598,91,77,<= 10,103,-,11,-,359,14,<= 10,-,25,-,<= 10,-,49,<= 10,33,0 - 10 %,0 - 10 %,24%,-,40 - 50 %,-,14%,40 - 50 %
07/01/2015 - 06/30/2016,2016,REGION 3,MIDDLETOWN,OLD SAYBROOK,56,<= 10,101,<= 10,13,<= 10,<= 10,-,-,-,69,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,-,0 - 10 %,20 - 30 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 6,NEW BRITAIN,AVON,54,<= 10,128,15,17,<= 10,22,-,<= 10,-,72,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,-,40 - 50 %,10 - 20 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,TORRINGTON,NEW HARTFORD,35,<= 10,80,15,<= 10,<= 10,23,-,<= 10,-,46,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,20 - 30 %,-,0 - 10 %,-,20 - 30 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,POMFRET,35,<= 10,81,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,60,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,190 - 200 %,90 - 100 %,-,0 - 10 %,-,30 - 40 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 3,WILLIMANTIC,THOMPSON,92,21,218,58,27,<= 10,55,-,<= 10,-,122,<= 10,<= 10,<= 10,28,-,<= 10,-,21,<= 10,29,20 - 30 %,90 - 100 %,102%,-,40 - 50 %,-,34%,30 - 40 %
07/01/2010 - 06/30/2011,2011,REGION 3,WILLIMANTIC,MANSFIELD,68,11,197,49,28,<= 10,51,-,<= 10,-,98,<= 10,<= 10,-,26,-,-,-,16,<= 10,20,10 - 20 %,0 - 10 %,102%,-,0 - 10 %,-,32%,20 - 30 %
07/01/2013 - 06/30/2014,2014,REGION 5,TORRINGTON,WASHINGTON,15,-,21,-,<= 10,-,<= 10,-,-,-,11,-,-,-,-,-,-,-,-,-,-,0 - 10 %,-,0 - 10 %,-,-,-,-,-
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,PLAINFIELD,237,39,706,166,46,19,116,-,18,-,465,22,<= 10,<= 10,44,-,<= 10,-,97,<= 10,60,10 - 20 %,120 - 130 %,98%,-,40 - 50 %,-,86%,50 - 60 %
07/01/2010 - 06/30/2011,2011,REGION 5,DANBURY,NEW MILFORD,151,37,404,77,46,<= 10,87,-,<= 10,-,238,13,<= 10,-,18,-,<= 10,-,48,-,50,10 - 20 %,0 - 10 %,21%,-,170 - 180 %,-,70%,-
07/01/2010 - 06/30/2011,2011,REGION 1,NORWALK,GREENWICH,254,54,658,107,72,14,173,-,<= 10,-,336,26,<= 10,<= 10,20,-,<= 10,-,70,<= 10,74,20 - 30 %,130 - 140 %,83%,-,20 - 30 %,-,126%,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 6,NEW BRITAIN,AVON,50,<= 10,109,<= 10,15,<= 10,25,-,<= 10,-,49,-,-,-,-,-,-,-,<= 10,-,<= 10,-,0 - 10 %,-,-,0 - 10 %,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,NORWICH,636,122,1837,411,153,39,363,-,42,-,1140,53,<= 10,<= 10,86,-,<= 10,-,276,<= 10,184,0 - 10 %,20 - 30 %,56%,-,20 - 30 %,-,43%,10 - 20 %
07/01/2015 - 06/30/2016,2016,REGION 5,TORRINGTON,WINCHESTER,140,22,318,44,25,<= 10,68,-,13,-,190,<= 10,<= 10,<= 10,<= 10,-,-,-,35,-,31,0 - 10 %,10 - 20 %,0 - 10 %,-,-,-,36%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 1,NORWALK,STAMFORD,926,92,1956,210,280,97,280,-,28,-,1151,62,24,12,31,-,<= 10,-,123,12,124,9%,12%,11%,-,10 - 20 %,-,11%,19%
07/01/2013 - 06/30/2014,2014,REGION 1,NORWALK,GREENWICH,231,24,531,50,73,17,121,-,13,-,273,11,<= 10,-,20,-,<= 10,-,17,<= 10,34,10 - 20 %,-,112%,-,10 - 20 %,-,18%,10 - 20 %
07/01/2012 - 06/30/2013,2013,REGION 3,NORWICH,GROTON,402,80,1254,331,136,<= 10,228,-,14,-,800,38,<= 10,<= 10,51,-,<= 10,-,251,12,108,0 - 10 %,150 - 160 %,85%,-,10 - 20 %,-,77%,38%
07/01/2014 - 06/30/2015,2015,REGION 5,DANBURY,REDDING,24,<= 10,40,<= 10,<= 10,<= 10,<= 10,-,-,-,18,<= 10,<= 10,<= 10,-,-,-,-,<= 10,-,<= 10,30 - 40 %,90 - 100 %,0 - 10 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 1,BRIDGEPORT,FAIRFIELD,179,29,433,65,45,12,91,-,13,-,246,12,<= 10,<= 10,15,-,<= 10,-,40,<= 10,38,0 - 10 %,20 - 30 %,30%,-,20 - 30 %,-,30%,20 - 30 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,UNION,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
07/01/2011 - 06/30/2012,2012,REGION 5,DANBURY,NEW FAIRFIELD,35,<= 10,76,<= 10,<= 10,-,<= 10,-,<= 10,-,46,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 3,MIDDLETOWN,EAST HAMPTON,72,11,210,30,21,<= 10,46,-,<= 10,-,115,<= 10,-,<= 10,<= 10,-,<= 10,-,17,-,12,-,30 - 40 %,0 - 10 %,-,10 - 20 %,-,15%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,GOSHEN,16,<= 10,54,<= 10,<= 10,-,12,-,-,-,36,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,30 - 40 %,-,-,-,10 - 20 %,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,HARWINTON,21,<= 10,38,<= 10,<= 10,-,<= 10,-,<= 10,-,28,-,<= 10,-,-,-,-,-,<= 10,-,<= 10,30 - 40 %,-,0 - 10 %,-,0 - 10 %,-,10 - 20 %,-
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,PRESTON,25,<= 10,71,14,<= 10,-,16,-,-,-,47,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,20 - 30 %,-,-,-,20 - 30 %,0 - 10 %
07/01/2011 - 06/30/2012,2012,REGION 3,WILLIMANTIC,EASTFORD,<= 10,<= 10,17,<= 10,<= 10,-,<= 10,-,-,-,15,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,30 - 40 %,-
07/01/2014 - 06/30/2015,2015,REGION 5,TORRINGTON,SHARON,14,<= 10,33,<= 10,-,-,<= 10,-,<= 10,-,23,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,-,-,0 - 10 %,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,MANCHESTER,627,77,1508,198,187,39,179,-,22,-,986,48,12,11,16,-,<= 10,-,131,20,96,6%,28%,9%,-,20 - 30 %,-,13%,42%
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,WARREN,<= 10,<= 10,22,<= 10,<= 10,-,<= 10,-,<= 10,-,11,<= 10,-,-,<= 10,-,-,-,-,<= 10,<= 10,0 - 10 %,-,10 - 20 %,-,0 - 10 %,-,-,40 - 50 %
07/01/2015 - 06/30/2016,2016,REGION 2,MILFORD,ORANGE,59,14,166,37,17,<= 10,26,-,<= 10,-,109,<= 10,<= 10,<= 10,<= 10,-,-,-,29,-,23,0 - 10 %,10 - 20 %,10 - 20 %,-,0 - 10 %,-,27%,0 - 10 %
07/01/2014 - 06/30/2015,2015,REGION 3,WILLIMANTIC,EASTFORD,<= 10,<= 10,19,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,10 - 20 %,-,-,-,0 - 10 %,-
07/01/2010 - 06/30/2011,2011,REGION 3,NORWICH,BOZRAH,17,<= 10,36,<= 10,<= 10,<= 10,<= 10,-,-,-,27,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,0 - 10 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,WILLIMANTIC,CANTERBURY,32,<= 10,70,<= 10,<= 10,<= 10,11,-,-,-,43,<= 10,-,<= 10,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,40 - 50 %,20 - 30 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,SPRAGUE,72,<= 10,208,37,15,<= 10,25,-,<= 10,-,151,<= 10,-,<= 10,<= 10,-,-,-,32,-,24,-,90 - 100 %,0 - 10 %,-,0 - 10 %,-,47%,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 5,WATERBURY,WOODBURY,41,<= 10,127,17,24,-,28,-,<= 10,-,62,<= 10,-,-,12,-,-,-,<= 10,-,<= 10,-,-,43%,-,0 - 10 %,-,0 - 10 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 2,MILFORD,ORANGE,31,<= 10,80,15,15,<= 10,18,-,-,-,41,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,0 - 10 %,30 - 40 %,-,-,-,10 - 20 %,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 3,NORWICH,NORWICH,681,124,1900,515,169,55,260,-,66,-,1256,41,18,12,85,-,31,-,350,<= 10,198,54%,42%,126%,-,105%,-,86%,50 - 60 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,EAST HAMPTON,86,12,234,28,24,<= 10,62,-,<= 10,-,132,<= 10,<= 10,-,<= 10,-,-,-,19,-,22,0 - 10 %,0 - 10 %,10 - 20 %,-,0 - 10 %,-,15%,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 4,MANCHESTER,TOLLAND,29,<= 10,70,11,<= 10,-,<= 10,-,<= 10,-,38,<= 10,-,-,-,-,-,-,<= 10,<= 10,<= 10,0 - 10 %,-,0 - 10 %,-,0 - 10 %,-,20 - 30 %,10 - 20 %
07/01/2013 - 06/30/2014,2014,REGION 3,MIDDLETOWN,EAST HADDAM,41,<= 10,93,<= 10,<= 10,<= 10,24,-,-,-,45,<= 10,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,-,-,-,-,20 - 30 %,0 - 10 %
07/01/2015 - 06/30/2016,2016,REGION 1,BRIDGEPORT,STRATFORD,379,55,902,139,94,36,142,-,12,-,567,23,<= 10,<= 10,37,-,<= 10,-,85,<= 10,76,0 - 10 %,0 - 10 %,26%,-,20 - 30 %,-,15%,30 - 40 %
07/01/2013 - 06/30/2014,2014,REGION 5,WATERBURY,SOUTHBURY,48,<= 10,120,15,15,-,35,-,<= 10,-,65,<= 10,-,-,<= 10,-,-,-,<= 10,<= 10,<= 10,-,-,10 - 20 %,-,0 - 10 %,-,10 - 20 %,40 - 50 %
07/01/2010 - 06/30/2011,2011,OTHER,NULL,OTHER,292,67,826,193,62,13,150,-,<= 10,-,508,50,<= 10,<= 10,37,-,<= 10,-,133,<= 10,86,10 - 20 %,30 - 40 %,76%,-,20 - 30 %,-,74%,10 - 20 %
07/01/2011 - 06/30/2012,2012,REGION 3,MIDDLETOWN,OLD LYME,25,<= 10,55,<= 10,<= 10,<= 10,<= 10,-,<= 10,-,37,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,30 - 40 %,-,0 - 10 %,-,10 - 20 %,0 - 10 %
07/01/2010 - 06/30/2011,2011,REGION 5,TORRINGTON,BARKHAMSTED,15,<= 10,39,11,<= 10,-,<= 10,-,<= 10,-,25,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,-,170 - 180 %,-,0 - 10 %,-,30 - 40 %,0 - 10 %
07/01/2012 - 06/30/2013,2013,REGION 2,MILFORD,WOODBRIDGE,21,<= 10,50,<= 10,<= 10,<= 10,<= 10,-,-,-,31,<= 10,-,-,<= 10,-,-,-,<= 10,-,<= 10,0 - 10 %,0 - 10 %,10 - 20 %,-,-,-,0 - 10 %,0 - 10 %
07/01/2013 - 06/30/2014,2014,REGION 4,MANCHESTER,EAST GRANBY,26,<= 10,87,22,<= 10,-,17,-,<= 10,-,52,<= 10,-,-,-,-,-,-,19,<= 10,<= 10,0 - 10 %,-,-,-,0 - 10 %,-,37%,40 - 50 %
07/01/2014 - 06/30/2015,2015,REGION 4,MANCHESTER,EAST WINDSOR,93,12,244,53,33,<= 10,34,-,<= 10,-,165,<= 10,-,-,<= 10,-,-,-,43,<= 10,17,-,0 - 10 %,30 - 40 %,-,0 - 10 %,-,43%,90 - 100 %
07/01/2011 - 06/30/2012,2012,REGION 5,TORRINGTON,MORRIS,15,<= 10,43,<= 10,<= 10,-,13,-,-,-,25,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,-,-,-,-,10 - 20 %,-
07/01/2014 - 06/30/2015,2015,REGION 5,DANBURY,SHERMAN,<= 10,<= 10,19,<= 10,<= 10,-,<= 10,-,-,-,<= 10,-,-,-,-,-,-,-,<= 10,-,<= 10,0 - 10 %,-,0 - 10 %,-,-,-,20 - 30 %,-
07/01/2015 - 06/30/2016,2016,REGION 6,NEW BRITAIN,SOUTHINGTON,235,28,511,75,61,19,81,-,14,-,311,16,<= 10,<= 10,16,-,<= 10,-,45,<= 10,37,0 - 10 %,10 - 20 %,118%,-,0 - 10 %,-,27%,30 - 40 %
07/01/2015 - 06/30/2016,2016,REGION 5,DANBURY,BROOKFIELD,65,<= 10,134,16,14,<= 10,24,-,<= 10,-,79,<= 10,<= 10,-,<= 10,-,<= 10,-,<= 10,-,<= 10,10 - 20 %,0 - 10 %,20 - 30 %,-,30 - 40 %,-,0 - 10 %,0 - 10 %
